room,room_iou,walls_gt,walls_pred,walls_matched,walls_missed,walls_extra,walls_err_mean_cm,walls_err_median_cm,walls_iou_mean,doors_gt,doors_pred,doors_matched,doors_missed,doors_extra,doors_err_mean_cm,doors_err_median_cm,doors_iou_mean,windows_gt,windows_pred,windows_matched,windows_missed,windows_extra,windows_err_mean_cm,windows_err_median_cm,windows_iou_mean
Area_5_WC_1,0.36262760763426544,8,10,7,1,3,19.73,6.2,0.7365,1,1,1,0,0,0.6,0.6,0.8791,0,0,0,0,0,,,
Area_5_WC_2,0.3323943661971831,9,12,8,1,4,62.86,4.0,0.8077,1,1,1,0,0,8.6,8.6,0.9089,0,1,0,0,1,,,
Area_5_conferenceRoom_1,0.6224796224796225,6,8,6,0,2,1.48,1.0,0.9741,1,1,1,0,0,0.4,0.4,0.9778,3,2,2,1,0,3.9,3.9,0.993
Area_5_conferenceRoom_2,0.1057154276578737,10,10,10,0,0,2.02,0.15,0.9579,1,1,1,0,0,19.6,19.6,0.8205,0,0,0,0,0,,,
Area_5_conferenceRoom_3,0.09942196531791908,4,12,4,0,8,6.83,6.0,0.9661,1,1,1,0,0,6.0,6.0,0.8798,2,4,2,0,2,62.95,62.95,0.683
Area_5_hallway_10,0.8975574188844331,5,5,5,0,0,0.88,0.4,0.9908,2,2,2,0,0,1.65,1.65,0.9962,0,0,0,0,0,,,
Area_5_hallway_11,0.9988499137435307,4,4,4,0,0,1.95,2.05,0.9947,2,2,2,0,0,3.4,3.4,0.9628,0,0,0,0,0,,,
Area_5_hallway_12,0.9959862385321101,4,4,4,0,0,2.4,1.45,0.9898,2,2,2,0,0,0.55,0.55,0.9896,0,0,0,0,0,,,
Area_5_hallway_13,0.14253731343283582,9,13,9,0,4,4.76,1.4,0.9535,1,2,1,0,1,4.1,4.1,0.9616,0,2,0,0,2,,,
Area_5_hallway_14,0.8901699029126213,7,4,4,3,0,26.9,0.05,0.9641,1,0,0,1,0,,,,0,0,0,0,0,,,
Area_5_hallway_15,0.4931656642974303,5,4,3,2,1,23.87,4.7,0.7224,2,3,1,1,2,5.1,5.1,0.9503,0,0,0,0,0,,,
Area_5_hallway_1,0.2766503981505266,4,13,4,0,9,4.88,4.55,0.9419,0,0,0,0,0,,,,0,1,0,0,1,,,
Area_5_hallway_2,0.5093816283243596,18,10,10,8,0,73.92,7.6,0.6717,4,2,2,2,0,7.75,7.75,0.9933,0,0,0,0,0,,,
Area_5_hallway_3,0.9127205199628597,5,5,5,0,0,2.28,2.6,0.9479,1,1,1,0,0,4.5,4.5,0.9828,0,0,0,0,0,,,
Area_5_hallway_4,0.5428766655278442,5,5,5,0,0,1.4,1.0,0.9908,1,1,1,0,0,0.0,0.0,0.9978,0,0,0,0,0,,,
Area_5_hallway_5,0.6531079919793755,9,8,8,1,0,2.74,0.35,0.969,3,3,3,0,0,12.23,12.3,0.9509,0,0,0,0,0,,,
Area_5_hallway_6,0.3457518091664433,4,4,4,0,0,42.88,20.75,0.7985,2,2,2,0,0,86.2,86.2,0.8915,0,0,0,0,0,,,
Area_5_hallway_7,0.9175918018787361,4,6,4,0,2,2.33,2.05,0.9953,2,2,2,0,0,4.65,4.65,0.9534,0,0,0,0,0,,,
Area_5_hallway_8,0.6543597800471328,5,4,3,2,1,5.37,5.4,0.8583,2,1,1,1,0,16.1,16.1,0.8467,0,0,0,0,0,,,
Area_5_hallway_9,0.9224035017906884,5,7,5,0,2,0.82,0.7,0.9807,2,2,2,0,0,1.55,1.55,0.9889,1,0,0,1,0,,,
Area_5_lobby_1,0.8721109399075501,3,3,3,0,0,0.37,0.4,0.9952,0,0,0,0,0,,,,0,0,0,0,0,,,
Area_5_office_10,0.33451957295373663,7,8,7,0,1,14.74,3.3,0.6517,1,2,1,0,1,17.6,17.6,0.8331,2,0,0,2,0,,,
Area_5_office_11,0.16060054595086443,6,7,6,0,1,34.45,17.0,0.5484,1,1,1,0,0,0.4,0.4,0.9958,1,1,1,0,0,174.8,174.8,0.1919
Area_5_office_12,0.38469284994964753,8,5,4,4,1,71.1,77.85,0.6445,1,0,0,1,0,,,,2,2,2,0,0,67.1,67.1,0.6559
Area_5_office_13,0.11793785310734463,8,11,7,1,4,74.83,30.0,0.6283,2,0,0,2,0,,,,2,3,2,0,1,8.6,8.6,0.9393
Area_5_office_14,0.19790343074968234,5,13,5,0,8,62.26,34.5,0.6288,0,1,0,0,1,,,,0,1,0,0,1,,,
Area_5_office_15,0.10376256134610891,7,12,7,0,5,43.64,6.7,0.6796,1,1,1,0,0,11.2,11.2,0.8894,1,2,1,0,1,14.7,14.7,0.9358
Area_5_office_16,0.2795489891135303,5,8,5,0,3,6.96,2.4,0.9353,1,1,1,0,0,26.5,26.5,0.7681,0,0,0,0,0,,,
Area_5_office_17,0.31076265146115467,5,5,5,0,0,0.62,0.7,0.99,1,2,1,0,1,8.0,8.0,0.0718,0,0,0,0,0,,,
Area_5_office_18,0.3240599205136044,5,6,5,0,1,17.74,5.2,0.8235,1,2,1,0,1,14.7,14.7,0.8588,0,0,0,0,0,,,
Area_5_office_19,0.14786525656090874,12,15,10,2,5,23.87,3.85,0.6978,2,1,1,1,0,5.6,5.6,0.8691,0,0,0,0,0,,,
Area_5_office_1,0.4654505251520177,6,7,6,0,1,26.4,0.9,0.86,1,1,1,0,0,8.5,8.5,0.9165,4,4,3,1,1,3.27,2.4,0.9732
Area_5_office_20,0.5199076745527986,5,5,4,1,1,33.63,1.85,0.8904,1,0,0,1,0,,,,0,0,0,0,0,,,
Area_5_office_21,0.22926146307315365,8,16,8,0,8,45.42,3.9,0.8121,0,2,0,0,2,,,,0,0,0,0,0,,,
Area_5_office_22,0.3593830334190231,6,7,5,1,2,7.12,1.0,0.8593,1,1,1,0,0,8.0,8.0,0.9161,1,2,1,0,1,11.9,11.9,0.7968
Area_5_office_23,0.16569598136284217,6,9,5,1,4,4.76,1.9,0.7764,1,1,1,0,0,9.7,9.7,0.8902,4,2,2,2,0,7.85,7.85,0.9648
Area_5_office_24,0.14824007220216606,7,18,5,2,13,60.36,75.3,0.3954,1,3,1,0,2,12.8,12.8,0.9746,2,3,1,1,2,4.5,4.5,0.969
Area_5_office_25,0.2252465483234714,6,10,6,0,4,43.02,35.65,0.6621,1,2,1,0,1,5.9,5.9,0.0,2,1,1,1,0,147.1,147.1,0.179
Area_5_office_26,0.31902356902356904,6,7,5,1,2,67.98,80.3,0.7397,0,2,0,0,2,,,,3,2,2,1,0,62.25,62.25,0.5273
Area_5_office_27,0.5172719220549159,6,10,6,0,4,56.53,51.1,0.6064,0,2,0,0,2,,,,2,2,2,0,0,23.9,23.9,0.5804
Area_5_office_28,0.21114572516441676,9,7,6,3,1,19.57,4.25,0.8429,1,2,1,0,1,12.4,12.4,0.878,2,2,1,1,1,98.2,98.2,0.3933
